company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
CARRYLIFT MATERIALS HANDLING LIMITED,02221891,46,0.6270021388091493,0.6270021388091493,0.24715347313017338,9.554516186620415,10.011994542846656,34.0,5.049856007249537,142.8990641025641,-0.019283378923347305,0.08874674486698586,0.06651231194562854
CROUD INC LTD,07542498,70,0.16005937829705708,0.16005937829705708,0.20864873596622627,-3.296380425874057,9.83005186204275,11.0,5.37989735354046,85.64017511520738,0.0645722498810537,0.27825290510305933,0.08811994045110322
F.R. MONKHOUSE LIMITED,00341442,47,-1.1607672670107776,-1.1607672670107776,0.05746159579351882,-6.546975692088747,10.003668080191277,84.0,5.820082930352362,65.60062017804154,0.254621474123389,0.0261556302971242,-0.04755940091991869
WILCOMATIC LIMITED,00910387,82,1.0225003837748443,1.0225003837748443,0.13583772724858653,5.155125606665578,9.60362553816135,55.0,4.812184355372417,120.47486991869918,0.0544517501292765,-0.07900085680980062,-0.06801797499459963
BUILDERS SUPPLY (NORTH WEST) LIMITED,01222280,46,0.13316555996283164,0.13316555996283164,0.0995256898626908,0.9085360655051139,10.066459906721391,47.0,4.430816798843313,280.2390833333333,0.01833888045897769,0.7522415905587041,0.0799899339603846
AMALGAMATED LIFTS LIMITED,02316623,33,1.3868796987698924,1.3868796987698924,0.03162514402312094,1.2641437041802908,9.61007388583471,34.0,4.762173934797756,127.47241025641026,0.07799034002468841,-0.052274288838139116,-0.014915150854093624
QUALITECH ENVIRONMENTAL SERVICES LIMITED,07576627,38,-0.013115235360900791,-0.013115235360900791,0.2089088399067719,-2.4909337554256505,9.98141812352626,11.0,4.820281565605037,174.36251612903226,0.1547363156201409,0.565664072142019,0.1250961975428208
INVESTCORP SECURITIES LIMITED,02217792,64,16.206819026940156,4.030904718277599,0.00948993394813223,14.64128942814337,10.112686609736539,34.0,3.367295829986474,850.131275862069,0.043264750471610824,-0.3991361449807088,-0.336963306451215
STRATEGIC RESOURCES EUROPEAN RECRUITMENT CONSULTANTS LIMITED,SC107007,78,-0.6656171523959037,-0.6656171523959037,0.01490566127353958,-0.9433782796507165,10.041009117573898,35.0,2.1972245773362196,2549.8365555555556,-0.013148640414817558,0.07674852583186609,0.0034303725444401207
R SYSTEMS COMPUTARIS INTERNATIONAL LIMITED,06000234,62,-0.6031809388662667,-0.6031809388662667,0.12249889680069462,-6.5912679229403945,10.074250102334336,16.0,5.998936561946683,58.86893548387097,0.2436729720116555,0.3324377872858655,0.02288729028876102
SMS CORPORATE SERVICES LIMITED,SC614591,82,-0.20140577717868743,-0.20140577717868743,0.1625784354312983,-5.808011498683517,9.869854137322445,4.0,,,,,
HESSLE PLANT LIMITED,01033740,77,-0.12827613669273094,-0.12827613669273094,0.2230051743636291,-3.828430232071636,10.034181022063544,51.0,3.9318256327243257,446.9091764705882,0.056510753874979835,0.03231629547700643,-0.016050114922775555
METCALFE PLANT HIRE LIMITED,02093086,41,0.048235218701254474,0.048235218701254474,0.1419887392028606,-2.7432571971512636,9.709892366515794,35.0,4.605170185988092,164.79828,0.08906277501166371,0.014957056727347373,-0.033427437816503924
CRIMSON LIMITED,04097664,58,0.5187367957226994,0.5187367957226994,0.052359378322942574,-0.0010722068771798487,10.097100866800805,22.0,4.736198448394496,212.917,0.026048318684612992,-0.06399776890417608,-0.01661174014469463
PARTNERS GROUP (UK) MANAGEMENT LTD,09172998,66,-0.686708025703507,-0.686708025703507,0.034669168833212374,-2.599312908227161,9.670907807552574,8.0,,,0.28244740186721895,1.4479917833949951,0.03400964865410394
CAROLE NASH INSURANCE CONSULTANTS LIMITED,02600841,65,-0.7382016890213612,-0.7382016890213612,0.08542692242403667,-6.360226511671072,10.067475402641579,31.0,5.278114659230517,120.22448979591837,-0.02853453806712647,-0.25065088056498397,-0.10070645241060654
TRIOPTIMA UK LIMITED,04379784,66,-0.5081718297928396,-0.5081718297928396,0.13569896207862708,-7.214780514762305,9.734745535024585,20.0,4.127134385045092,272.49251612903225,0.22586654160388875,0.16632159211239927,-0.02186291775999466
UPSTREAM MOBILE COMMERCE LIMITED,09873874,61,-18.445755905171794,-1.3538505560127176,0.004966570902258245,-10.909531624402542,10.253592511310043,7.0,0.7904588065059048,10679.730086666663,0.06554539960862615,,0.19844638104301454
